year	sex	occupation	people	score	sei
1850	1	Clerical Worker	2929	25	44
1850	1	College President / Dean	101	41	84
1850	1	Constable	3439	24	21
1850	1	Craftsman	47904	32	32
1850	1	Crossing Guard / Toll Collector	1818	26	17
1850	1	Dancer / Dance Teacher	102	16	45
1850	1	Delivery Man	1316	27	32
1850	1	Dentist	2023	63	96
1850	1	Designer	203	38	73
1850	1	Disabled	910	0	0
1850	1	Doctor Office Attendant	101	16	38
1850	1	Draftsman	101	34	67
1850	1	Dressmaker / Seamstress	202	12	23
1850	1	Dyer	2326	25	12
1850	1	Editor / Reporter	2327	39	82
1850	1	Engineer - Civil	607	46	84
1850	1	Engineer - Mechanical	101	46	82
1850	1	Engraver	1820	33	47
1850	1	Entertainer	910	20	31
1850	1	Farm Foreman	16270	23	20
1850	1	Farm Laborer	296047	9	6
1850	1	Farm Manager	707	24	36
1850	1	Farmer	2415878	14	14
1850	1	Fireman	1718	28	17
1850	1	Fisherman	12734	16	10
1850	1	Foremen	2427	38	49
1850	1	Forgemen	1010	32	23
1850	1	Funeral Director	606	31	59
1850	1	Furnaceman	9808	29	18
1850	1	Furrier	202	32	39
1850	1	Gardener / Groundskeeper	8596	17	11
1850	1	Glazier	101	28	26
1850	1	Hospital Attendant	101	16	13
1850	1	Household Worker	14966	9	17
1850	1	Huckster	11322	13	8
1850	1	Inmate	303	0	0
1850	1	Inspector	1721	32	42
1850	1	Insurance Agent	606	36	66
1850	1	Janitor	202	19	9
1850	1	Jeweler	11832	27	36
1850	1	Laborer	620277	20	8
1850	1	Laundry / Dry Cleaning	303	15	15
1850	1	Lawyer / Judge	24369	62	93
1850	1	Lithographer	808	47	64
1850	1	Locomotive Engineer	505	46	58
1850	1	Longshoreman	1314	25	11
1850	1	Lumberman	7986	12	4
1850	1	Machinist	23644	32	33
1850	1	Mail Carrier	808	34	53
1850	1	Manager / Owner	224003	42	68
1850	1	Mason	51032	29	27
1850	1	Meat Cutter	19314	29	29
1850	1	Mechanic	29113	30	27
1850	1	Mechanic - Railroad	101	32	23
1850	1	Messenger	506	15	28
1850	1	Metal Filer	303	30	22
1850	1	Metal Heater	101	32	29
1850	1	Metal Worker	11319	32	33
1850	1	Military	8693	11	18
1850	1	Miller	31743	25	19
1850	1	Milliner	202	19	46
1850	1	Millwright	9003	34	31
1850	1	Miner	87431	24	10
1850	1	Model Maker	1616	34	44
1850	1	Molder	9102	28	12
1850	1	Motorman	101	34	34
1850	1	Musician / Music Teacher	3236	20	52
1850	1	Newsboy	505	3	27
1850	1	Nurse	101	11	22
1850	1	Operative	192143	23	18
1850	1	Optician / Lens Grinder	202	30	39
1850	1	Painter	24058	25	17
1850	1	Paperhanger	607	15	10
1850	1	Pharmacist	5461	40	82
1850	1	Photographer	707	27	50
1850	1	Physician / Surgeon	43256	80	92
1850	1	Plasterer	9505	29	25
1850	1	Plumber	1516	33	34
1850	1	Policeman / Detective	2930	32	39
1850	1	Porter	6064	18	4
1850	1	Postmaster	1922	29	60
1850	1	Pressman	101	38	49
1850	1	Professional - Misc	7076	33	65
1850	1	Professor	1112	41	84
1850	1	Professor - Mathematics	101	41	84
1850	1	Public Officials	7585	36	66
1850	1	Railroad Brakeman	506	36	42
1850	1	Railroad Conductor	404	43	58
1850	1	Railroad Switchman	101	36	44
1850	1	Real Estate Agent	405	35	62
1850	1	Recreation Attendant	303	8	19
1850	1	Retired	1112	0	0
1850	1	Road Machinery Operator	1415	31	24
1850	1	Roller	1010	30	22
1850	1	Roofer	101	23	15
1850	1	Sailor	69440	23	16
1850	1	Salesman	104351	24	47
1850	1	Sawyer	9799	17	5
1850	1	Scientist	101	41	80
